Akroma, Angel of Wrath|W|5WWW|Creature - Angel Legend|6/6|Flying, first strike, trample, haste, protection from black, protection from red. Attacking doesn't cause Akroma, Angel of Wrath to tap.|No rest.  No mercy.  No matter what.|Ron Spears|R|1/145|LE
Lowland Tracker|W|4W|Creature - Soldier|2/2|First strike. Provoke (When this attacks, you may have target creature defending player controls untap and block it if able)|"I feed my hatred to the righteous and they join my crusade.. -Akroma, angelic avenger"|Brian Snoddy|C|17/145|LE
Planar Guide|W|W|Creature - Cleric|1/1|3W, Remove Planar Guide from the game: Remove all creatures from the game. At end of turn, return those cards to play under their owners' control.|Every moment has its own savior.|Eric Peterson|R|18/145|LE
Plated Sliver|W|W|Creature - Sliver|1/1|All Slivers get +0/+1.|Overcoming extinction has only made the slivers more determined to live.|Greg Staples|C|19/145|LE
Starlight Invoker|W|1W|Creature - Cleric Mutant|1/3|7W: You gain 5 life.|The Mirari glows in her eyes.|Glen Angus|C|20/145|LE
Stoic Champion|W|WW|Creature - Soldier|2/2|Whenever a player cycles a card, Stoic Champion gets +2/+2 until end of turn.|His outer calm belies his inner fury.|Greg Hildebrandt|U|21/145|LE
Sunstrike Legionnaire|W|1W|Creature - Soldier|1/2|Sunstrike Legionnaire doesn't untap during your untap step. . Whenever another creature comes into play, untap Sunstrike Legionnaire. . TAP: Tap target creature with converted mana cost 3 or less.||Mark Zug|R|22/145|LE
Swooping Talon|W|4WW|Creature - Bird Soldier|2/6|Flying. 1: Swooping Talon loses flying until end of turn. . Provoke (When this attacks, you may have target creature defending player controls untap and block it if able)||Mark Zug|U|23/145|LE
Wall of Hope|W|W|Creature - Wall|0/3|(Walls can't attack). Whenever Wall of Hope is dealt damage, you gain that much life.|What cage would you rather be inside of than out?. -Daru riddle|David Martin|C|24/145|LE
Ward Sliver|W|4W|Creature - Sliver|2/2|As Ward Sliver comes into play, choose a color. . All Slivers have protection from the chosen color.|The first wave of slivers perished from the Riptide wizards' magic. The second wave shrugged off their spells like water.|Pete Venters|U|25/145|LE
Whipgrass Entangler|W|2W|Creature - Cleric|1/3|1W: Until end of turn, target creature gains "This creature can't attack or block unless its controller pays 1 for each Cleric in play. (This cost is paid as attackers or blockers are declared)"|"Now that I have your attention, perhaps I can tell you of the Order."|Ben Thompson|C|26/145|LE
White Knight|W|WW|Creature - Knight|2/2|First strike, protection from black|"In the wretched depths of the Grand Coliseum, his soul shines like a single torch blazing in the night."|Edward P. Beard, Jr.|U|27/145|LE
Windborn Muse|W|3W|Creature - Spirit|2/3|Flying. Creatures can't attack you unless their controller pays 2 for each creature attacking you. (This cost is paid as attackers are declared)|"Her voice is justice, clear and relentless. . -Akroma, angelic avenger"|Adam Rex|R|28/145|LE
Wingbeat Warrior|W|2W|Creature - Bird Soldier|2/1|Flying. Morph 2W (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost.). When Wingbeat Warrior is turned face up, target creature gains first strike until end of turn.||Kev Walker|C|29/145|LE
Aven Envoy|U|U|Creature - Bird Soldier|0/2|Flying|Their grieving faces tell far more than a list of casualties ever could.|Alex Horley-Orlandelli|C|30/145|LE
Cephalid Pathmage|U|2U|Creature - Cephalid Wizard|1/2|Cephalid Pathmage is unblockable. . TAP, Sacrifice Cephalid Pathmage: Target creature is unblockable this turn.|Pathmages can open doors that aren't even there.|Alex Horley-Orlandelli|C|31/145|LE
Chromeshell Crab|U|4U|Creature - Beast|3/3|"Morph 4U (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Chromeshell Crab is turned face up, you may exchange control of target creature you control and target creature an opponent controls.||Ron Spencer|R|32/145|LE
Covert Operative|U|4U|Creature - Wizard|3/2|Covert Operative is unblockable.|Some spies seek clarity. Others seek transparency.|Kev Walker|C|33/145|LE
Crookclaw Elder|U|5U|Creature - Bird Wizard|3/2|Flying. Tap two untapped Birds you control: Draw a card. Tap two untapped Wizards you control: Target creature gains flying until end of turn.||Ron Spencer|U|34/145|LE
Dermoplasm|U|2U|Creature - Shapeshifter|1/1|Flying. Morph 2UU (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Dermoplasm is turned face up, you may put a creature card with morph from your hand into play face up. If you do, return Dermoplasm to its owner's hand.||John Avon|R|35/145|LE
Dreamborn Muse|U|2UU|Creature - Spirit|2/2|At the beginning of each player's upkeep, that player puts the top X cards from his or her library into his or her graveyard, where X is the number of cards in his or her hand.|"Her voice is insight, piercing and true. . -Ixidor, reality sculptor"|Kev Walker|R|36/145|LE
Echo Tracer|U|2U|Creature - Wizard|2/2|Morph 2U (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Echo Tracer is turned face up, return target creature to its owner's hand.||Scott M. Fischer|C|37/145|LE
Fugitive Wizard|U|U|Creature - Wizard|1/1||"Many wizards came to the Riptide Project hoping to return home with answers. Most, however, wouldn't return home at all."|Jim Nelson|C|38/145|LE
Gempalm Sorcerer|U|2U|Creature - Wizard|2/2|Cycling 2U (2U, Discard this card from your hand: Draw a card). When you cycle Gempalm Sorcerer, all Wizards gain flying until end of turn.||Greg Hildebrandt|U|39/145|LE
Glintwing Invoker|U|4U|Creature - Wizard Mutant|3/3|7U: Glintwing Invoker gets +3/+3 and gains flying until end of turn.|The Mirari flares in his mind.|Jim Nelson|C|40/145|LE
Keeneye Aven|U|3U|Creature - Bird Soldier|2/3|Flying. Cycling 2 (2, Discard this card from your hand: Draw a card)|I have no need of a map. The very continent itself guides my way.|Greg Hildebrandt|C|41/145|LE
Keeper of the Nine Gales|U|2U|Creature - Bird Wizard|1/2|Flying. TAP, Tap two untapped Birds you control: Return target permanent to its owner's hand.|You cannot fight the storm.|Jim Nelson|R|42/145|LE
Master of the Veil|U|2UU|Creature - Wizard|2/3|Morph 2U (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Master of the Veil is turned face up, you may turn target creature with morph face down.||Ron Spears|U|43/145|LE
Merchant of Secrets|U|2U|Creature - Wizard|1/1|When Merchant of Secrets comes into play, draw a card.|"To scrape out a living in Aphetto, wizards are reduced to selling rumors, lies, forgeries, or-if they get desperate enough-the truth."|Greg Hildebrandt|C|44/145|LE
Mistform Seaswift|U|3U|Creature - Illusion|3/1|Flying. 1: Mistform Seaswift's type becomes the creature type of your choice until end of turn. . Morph 1U (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost)||Dany Orizio|C|45/145|LE
Mistform Sliver|U|1U|Creature - Illusion Sliver|1/1|All Slivers have "1: This creature's type becomes the creature type of your choice in addition to its other types until end of turn."|"Taking the form of a junior researcher, the first sliver slipped out of Riptide."|Ben Thompson|C|46/145|LE
Mistform Ultimus|U|3U|Creature - Illusion Legend|3/3|Mistform Ultimus is every creature type (even if this card isn't in play). . Mistform Ultimus may attack as though it weren't a Wall.|"It may wear your face, but its mind is its own."|Anthony S. Waters|R|47/145|LE
Mistform Wakecaster|U|4U|Creature - Illusion|2/3|Flying. 1: Mistform Wakecaster's type becomes the creature type of your choice until end of turn. . 2UU, TAP: Choose a creature type. The type of each creature you control becomes that type until end of turn.||Glen Angus|U|48/145|LE
Primoc Escapee|U|6U|Creature - Bird Beast|4/4|Flying. Cycling 2 (2, Discard this card from your hand: Draw a card)|"Though a completely artificial species, primocs are a natural fit for the skies of Otaria."|Tony Szczudlo|U|49/145|LE
Riptide Director|U|2UU|Creature - Wizard|2/3|2UU, TAP: Draw a card for each Wizard you control.|Those who lead others to wisdom become the wisest themselves.|Scott M. Fischer|R|50/145|LE
Riptide Mangler|U|1U|Creature - Beast|0/3|1U: Change Riptide Mangler's power to target creature's power. (It doesn't change back at end of turn)|It wants you to be its chum.|Arnie Swekel|R|51/145|LE
Shifting Sliver|U|3U|Creature - Sliver|2/2|Slivers can't be blocked except by Slivers.|"Once the last few slivers the Riptide Project controlled were dead, there was nothing to keep the island from being completely overrun."|Darrell Riche|U|52/145|LE
Synapse Sliver|U|4U|Creature - Sliver|3/3|Whenever a Sliver deals combat damage to a player, its controller may draw a card.|Species XR17 feeds upon the mental energies of its victims. This explains why the goblins remain unaffected. -Riptide Project researcher|Thomas M. Baxa|R|53/145|LE
Voidmage Apprentice|U|1U|Creature - Wizard|1/1|Morph 2UU (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Voidmage Apprentice is turned face up, counter target spell.||Jim Nelson|C|54/145|LE
Wall of Deceit|U|1U|Creature - Wall|0/5|(Walls can't attack). 3: Turn Wall of Deceit face down. Morph U (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost)||John Avon|U|55/145|LE
Warped Researcher|U|4U|Creature - Wizard Mutant|3/4|Whenever a player cycles a card, Warped Researcher gains flying until end of turn and can't be the target of spells or abilities this turn.|New insights yield new senses.|rk post|U|56/145|LE
Weaver of Lies|U|5UU|Creature - Beast|4/4|Morph 4U (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Weaver of Lies is turned face up, turn any number of target creatures with morph other than Weaver of Lies face down.||Luca Zontini|R|57/145|LE
Willbender|U|1U|Creature - Wizard|1/2|Morph 1U (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Willbender is turned face up, change the target of target spell or ability with a single target.||Eric Peterson|U|58/145|LE
Aphetto Exterminator|B|2B|Creature - Wizard|3/1|Morph 3B (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Aphetto Exterminator is turned face up, target creature gets -3/-3 until end of turn.||Scott M. Fischer|U|59/145|LE
Bane of the Living|B|2BB|Creature - Insect|4/3|Morph XBB (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Bane of the Living is turned face up, all creatures get -X/-X until end of turn.||Justin Sweet|R|60/145|LE
Blood Celebrant|B|B|Creature - Cleric|1/1|B, Pay 1 life: Add one mana of any color to your mana pool.|Their blood is the nectar that nourishes the Cabal. . -Phage the Untouchable|Ben Thompson|C|61/145|LE
Corpse Harvester|B|3BB|Creature - Zombie Wizard|3/3|1B, TAP, Sacrifice a creature: Search your library for a Zombie card and a swamp card, reveal them, and put them into your hand. Then shuffle your library.||Mark Tedin|U|62/145|LE
Crypt Sliver|B|1B|Creature - Sliver|1/1|All Slivers have ""TAP: Regenerate target Sliver.|Death couldn't contain the slivers. What made us think we could?. -Riptide Project researcher|Edward P. Beard, Jr.|C|63/145|LE
Dark Supplicant|B|B|Creature - Cleric|1/1|TAP, Sacrifice three Clerics: Search your graveyard, hand, and/or library for a card named Scion of Darkness and put it into play. If you search your library this way, shuffle it.|Cabal clerics serve two masters: their patriarch and their god.|Mark Zug|U|64/145|LE
Deathmark Prelate|B|3B|Creature - Cleric|2/3|2B, TAP, Sacrifice a Zombie: Destroy target non-Zombie creature. It can't be regenerated. Play this ability only any time you could play a sorcery.|Death is a secret he is willing to share.|Tony Szczudlo|U|65/145|LE
Drinker of Sorrow|B|2B|Creature - Horror|5/3|Drinker of Sorrow can't block. . Whenever Drinker of Sorrow deals combat damage, sacrifice a permanent.|"It strikes at your soul, heedless of your prayers."|Carl Critchlow|R|66/145|LE
Dripping Dead|B|4BB|Creature - Zombie|4/1|Dripping Dead can't block. . Whenever Dripping Dead deals combat damage to a creature, destroy that creature. It can't be regenerated.|It oozes death from every pore.|Thomas M. Baxa|C|67/145|LE
Earthblighter|B|1B|Creature - Cleric|1/1|2B, TAP, Sacrifice a Goblin: Destroy target land.|"A single dedicated mind can bring about the greatest destruction. That, or goblins-goblins work too.|Alex Horley-Orlandelli|U|68/145|LE
Embalmed Brawler|B|2B|Creature - Zombie|2/2|Amplify 1 (As this card comes into play, put a +1/+1 counter on it for each Zombie card you reveal in your hand). Whenever Embalmed Brawler attacks or blocks, you lose 1 life for each +1/+1 counter on it.||Justin Sweet|C|69/145|LE
Gempalm Polluter|B|5B|Creature - Zombie|4/3|Cycling BB (BB, Discard this card from your hand: Draw a card). When you cycle Gempalm Polluter, you may have target player lose 1 life for each Zombie in play.||Dany Orizio|C|70/145|LE
Ghastly Remains|B|BBB|Creature - Zombie|0/0|Amplify 1 (As this card comes into play, put a +1/+1 counter on it for each Zombie card you reveal in your hand). At the beginning of your upkeep, if Ghastly Remains is in your graveyard, you may pay BBB. If you do, return Ghastly Remains to your hand.||Edward P. Beard, Jr.|R|71/145|LE
Goblin Turncoat|B|1B|Creature - Goblin Mercenary|2/1|Sacrifice a Goblin: Regenerate Goblin Turncoat.|Goblins won't betray their own kind for any price. They'll do it for a very specific price. . -Phage the Untouchable|Jim Nelson|C|72/145|LE
Graveborn Muse|B|2BB|Creature - Zombie Spirit|3/3|At the beginning of your upkeep, you draw X cards and you lose X life, where X is the number of Zombies you control.|"Her voice is damnation, unyielding and certain. . -Phage the Untouchable"|Kev Walker|R|73/145|LE
Havoc Demon|B|5BB|Creature - Demon|5/5|Flying. When Havoc Demon is put into a graveyard from play, all creatures get -5/-5 until end of turn.|A cry of pain as it enters this world. A chorus of screams as it leaves.|Thomas M. Baxa|R|74/145|LE
Hollow Specter|B|1BB|Creature - Specter|2/2|Flying. Whenever Hollow Specter deals combat damage to a player, you may pay X. If you do, that player reveals X cards from his or her hand and you choose one of them. That player discards that card.||rk post|R|75/145|LE
Infernal Caretaker|B|3B|Creature - Cleric|2/2|Morph 3B (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Infernal Caretaker is turned face up, return all Zombie cards from all graveyards to their owners' hands.||Christopher Moeller|C|76/145|LE
Noxious Ghoul|B|3BB|Creature - Zombie|3/3|Whenever Noxious Ghoul or another Zombie comes into play, all non-Zombie creatures get -1/-1 until end of turn.|Plague and death wrapped in one convenient package.|Luca Zontini|U|77/145|LE
Phage the Untouchable|B|3BBBB|Creature - Minion Legend|4/4|When Phage the Untouchable comes into play, if you didn't play it from your hand, you lose the game. . Whenever Phage deals combat damage to a creature, destroy that creature. It can't be regenerated. Whenever Phage deals combat damage to a player, that player loses the game.||Ron Spears|R|78/145|LE
Scion of Darkness|B|5BBB|Creature - Avatar|6/6|Trample. Whenever Scion of Darkness deals combat damage to a player, you may put target creature card from that player's graveyard into play under your control. . Cycling 3 (3, Discard this card from your hand: Draw a card)||Mark Zug|R|79/145|LE
Skinthinner|B|1B|Creature - Zombie|2/1|Morph 3BB (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Skinthinner is turned face up, destroy target nonblack creature. It can't be regenerated.||Dany Orizio|C|80/145|LE
Smokespew Invoker|B|2B|Creature - Zombie Mutant|3/1|7B: Target creature gets -3/-3 until end of turn.|The Mirari festers in its flesh.|Thomas M. Baxa|C|81/145|LE
Sootfeather Flock|B|4B|Creature - Bird|3/2|Flying. Morph 3B (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost)|They pick at the remains of the city's corpse.|David Martin|C|82/145|LE
Spectral Sliver|B|2B|Creature - Sliver|2/2|All Slivers have "2: This creature gets +1/+1 until end of turn."|"Sure, I've seen agents of the Cabal here and there. Well, not here, and certainly not in any of the sliver labs. Oh dear, I've said too much. . -Apprentice researcher"|Pete Venters|U|83/145|LE
Toxin Sliver|B|3B|Creature - Sliver|3/3|Whenever a Sliver deals combat damage to a creature, destroy that creature. It can't be regenerated.|It doesn't need to use its venom-it just needs you to know it can.|Lars Grant-West|R|84/145|LE
Vile Deacon|B|2BB|Creature - Cleric|2/2|Whenever Vile Deacon attacks, it gets +X/+X until end of turn, where X is the number of Clerics in play.|"The Cabal and the Order really aren't that different. After all, we are both empowered by faith."|Matthew D. Wilson|C|85/145|LE
Withered Wretch|B|BB|Creature - Zombie Cleric|2/2|1: Remove target card in a graveyard from the game.|Once it consecrated the dead. Now it desecrates them.|Tim Hildebrandt|U|86/145|LE
Zombie Brute|B|6B|Creature - Zombie|5/4|Amplify 1 (As this card comes into play, put a +1/+1 counter on it for each Zombie card you reveal in your hand). Trample"|Measure its determination by the screams of its prey.|Greg Hildebrandt|U|87/145|LE
Blade Sliver|R|2R|Creature - Sliver|2/2|All Slivers get +1/+0.|"After breaking free from the Riptide Project, the slivers quickly adapted to life on Otaria-much to the dismay of life on Otaria."|David Martin|U|88/145|LE
Bloodstoke Howler|R|5R|Creature - Beast|3/4|Morph 6R (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Bloodstoke Howler is turned face up, Beasts you control get +3/+0 until end of turn.||Christopher Moeller|C|89/145|LE
Clickslither|R|1RRR|Creature - Insect|3/3|Haste. Sacrifice a Goblin: Clickslither gets +2/+2 and gains trample until end of turn.|The least popular goblins get the outer caves.|Kev Walker|R|90/145|LE
Crested Craghorn|R|4R|Creature - Beast|4/1|Haste. Provoke (When this attacks, you may have target creature defending player controls untap and block it if able)|"Craghorns experience a wide range of emotions: rage, fury, anger.... -Foothill guide"|Matt Cavotta|C|91/145|LE
Flamewave Invoker|R|2R|Creature - Goblin Mutant|2/2|7R: Flamewave Invoker deals 5 damage to target player.|The Mirari burns in his heart.|Dave Dorman|C|92/145|LE
Frenetic Raptor|R|5R|Creature - Beast|6/6|Beasts can't block.|"How do you stop a raptor from charging? No, seriously! Help!. -Blarg, goblin jester"|Daren Bader|U|93/145|LE
Gempalm Incinerator|R|2R|Creature - Goblin|2/1|Cycling 1R (1R, Discard this card from your hand: Draw a card). When you cycle Gempalm Incinerator, you may have it deal X damage to target creature, where X is the number of Goblins in play.||Luca Zontini|U|94/145|LE
Goblin Assassin|R|3RR|Creature - Goblin Assassin|2/2|Whenever Goblin Assassin or another Goblin comes into play, each player flips a coin. Each player whose coin comes up tails sacrifices a creature.|"The more victims he kills, the more likely he is to get the right one."|Dave Dorman|U|95/145|LE
Goblin Clearcutter|R|3R|Creature - Goblin|3/3|TAP, Sacrifice a forest: Add three mana in any combination of red and/or green to your mana pool.|"Did you know that wood burns even better than rocks?. -Toggo, goblin weaponsmith"|Eric Peterson|U|96/145|LE
Goblin Dynamo|R|5RR|Creature - Goblin Mutant|4/4|TAP: Goblin Dynamo deals 1 damage to target creature or player. . XR, TAP, Sacrifice Goblin Dynamo: Goblin Dynamo deals X damage to target creature or player.||Ron Spencer|U|97/145|LE
Goblin Firebug|R|1R|Creature - Goblin|2/2|When Goblin Firebug leaves play, sacrifice a land.|Most goblins leave behind a wake of destruction. A few goblins take one with them.|Christopher Moeller|C|98/145|LE
Goblin Goon|R|3R|Creature - Goblin Mutant|6/6|Goblin Goon can't attack unless you control more creatures than defending player. . Goblin Goon can't block unless you control more creatures than attacking player.|Giant-sized body. Goblin-sized brain.|Greg Staples|R|99/145|LE
Goblin Grappler|R|R|Creature - Goblin|1/1|Provoke (When this attacks, you may have target creature defending player controls untap and block it if able)|Daru soldiers learned it's better to have a clean death from a sharp blade than to tangle with a goblin's rusted chains.|Christopher Moeller|C|100/145|LE
Goblin Lookout|R|1R|Creature - Goblin|1/2|TAP, Sacrifice a Goblin: All Goblins get +2/+0 until end of turn.|Throw rocks at 'em! Throw spears at 'em! Throw Furt at 'em!|Jim Nelson|C|101/145|LE
Hunter Sliver|R|1R|Creature - Sliver|1/1|All Slivers have provoke. (When a Sliver attacks, its controller may have target creature defending player controls untap and block it if able)|"Once they get the scent, there is no escape."|Kev Walker|C|102/145|LE
Imperial Hellkite|R|5RR|Creature - Dragon|6/6|Flying. Morph 6RR (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Imperial Hellkite is turned face up, you may search your library for a Dragon card, reveal it, and put it into your hand. If you do, shuffle your library.||Matt Cavotta|R|103/145|LE
Kilnmouth Dragon|R|5RR|Creature - Dragon|5/5|Amplify 3 (As this card comes into play, put three +1/+1 counters on it for each Dragon card you reveal in your hand). Flying. TAP: Kilnmouth Dragon deals damage equal to the number of +1/+1 counters on it to target creature or player.||Carl Critchlow|R|104/145|LE
Lavaborn Muse|R|3R|Creature - Spirit|3/3|At the beginning of each opponent's upkeep, if that player has two or fewer cards in hand, Lavaborn Muse deals 3 damage to him or her.|"Her voice is disaster, painful and final. . -Matoc, lavamancer"|Brian Snoddy|R|105/145|LE
Macetail Hystrodon|R|6R|Creature - Beast|4/4|First strike, haste. Cycling 3 (3, Discard this card from your hand: Draw a card)|The goblins tracked the hystrodon with much stealth and cunning. Then they were eaten with much pain and yelling.|Daren Bader|C|106/145|LE
Magma Sliver|R|3R|Creature - Sliver|3/3|All Slivers have "TAP: Target Sliver gets +X/+0 until end of turn, where X is the number of Slivers in play."|"As malleable as molten steel, but as dangerous as the finished blade."|Wayne England|R|107/145|LE
Ridgetop Raptor|R|3R|Creature - Beast|2/1|Double strike (This creature deals both first-strike and regular combat damage)|The Skirk Ridge has many wonderful things to discover-like escape routes. . -Foothill guide|Daren Bader|U|108/145|LE
Rockshard Elemental|R|5RR|Creature - Elemental|4/3|Double strike (This creature deals both first-strike and regular combat damage). Morph 4RR (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost)||Anthony S. Waters|R|109/145|LE
Shaleskin Plower|R|3R|Creature - Beast|3/2|Morph 4R (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Shaleskin Plower is turned face up, destroy target land.||Daren Bader|C|110/145|LE
Skirk Alarmist|R|1R|Creature - Wizard|1/2|Haste. TAP: Turn target face-down creature you control face up. At end of turn, sacrifice it.|I treat each day as your last.|Justin Sweet|R|111/145|LE
Skirk Drill Sergeant|R|1R|Creature - Goblin|2/1|Whenever Skirk Drill Sergeant or another Goblin is put into a graveyard from play, you may pay 2R. If you do, reveal the top card of your library. If it's a Goblin card, put it into play. Otherwise, put it into your graveyard.|I order you to volunteer.|Alex Horley-Orlandelli|U|112/145|LE
Skirk Marauder|R|1R|Creature - Goblin|2/1|Morph 2R (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Skirk Marauder is turned face up, it deals 2 damage to target creature or player."||Pete Venters|C|113/145|LE
Skirk Outrider|R|3R|Creature - Goblin|2/2|Skirk Outrider gets +2/+2 and has trample as long as you control a Beast.|"Once the goblins thought about it, they preferred being atop a slateback to being in front of, behind, or underneath one."|Greg Staples|C|114/145|LE
Unstable Hulk|R|1RR|Creature - Goblin Mutant|2/2|Morph 3RR (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Unstable Hulk is turned face up, it gets +6/+6 and gains trample until end of turn. You skip your next turn.||Ron Spencer|R|115/145|LE
Warbreak Trumpeter|R|R|Creature - Goblin|1/1|Morph XXR (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Warbreak Trumpeter is turned face up, put X 1/1 red Goblin creature tokens into play.||Dany Orizio|U|116/145|LE
Berserk Murlodont|G|4G|Creature - Beast|3/3|Whenever a Beast becomes blocked, it gets +1/+1 until end of turn for each creature blocking it.|"The harder we press forward, the harder Krosa pushes us back. . -Aven scout"|Arnie Swekel|C|117/145|LE
Branchsnap Lorian|G|1GG|Creature - Beast|4/1|Trample. Morph G (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost)|Lorians treat trees and prey the same way: by ripping them limb from limb.|Heather Hudson|U|118/145|LE
Brontotherium|G|4GG|Creature - Beast|5/3|Trample. Provoke (When this attacks, you may have target creature defending player controls untap and block it if able)|Lucky victims get run over. Unlucky victims get run through.|Carl Critchlow|U|119/145|LE
Brood Sliver|G|4G|Creature - Sliver|3/3|Whenever a Sliver deals combat damage to a player, its controller may put a 1/1 colorless Sliver creature token into play.|"Within weeks, more slivers nested in Otaria than ever existed on Rath."|Ron Spears|R|120/145|LE
Caller of the Claw|G|2G|Creature - Elf|2/2|You may play Caller of the Claw any time you could play an instant. . When Caller of the Claw comes into play, put a 2/2 green Bear creature token into play for each nontoken creature put into your graveyard from play this turn."||Matt Cavotta|R|121/145|LE
Canopy Crawler|G|3G|Creature - Beast|2/2|Amplify 1 (As this card comes into play, put a +1/+1 counter on it for each Beast card you reveal in your hand). TAP: Target creature gets +1/+1 until end of turn for each +1/+1 counter on Canopy Crawler."||Anthony S. Waters|U|122/145|LE
Defiant Elf|G|G|Creature - Elf|1/1|Trample|I lost one home when Yavimaya was destroyed. I will not lose another.|Pete Venters|C|123/145|LE
Elvish Soultiller|G|3GG|Creature - Elf Mutant|5/4|When Elvish Soultiller is put into a graveyard from play, choose a creature type. Shuffle all creature cards of that type from your graveyard into your library.|"Mutated elves wondered if this was their final form, or if it was just another step."|Ron Spears|R|124/145|LE
